model,accuracy,balanced_accuracy,precision_priority,recall_priority,f1_priority,f1_macro,roc_auc
hist_gradient_boosting,0.95855,0.8543839248441558,0.9656916648339564,0.9884630536327311,0.9769446839280251,0.8859494629138023,0.9688461835247649
random_forest,0.95555,0.8748408626378279,0.9714557032733773,0.9787269964544995,0.9750777942866754,0.884859294463735,0.9667116888963926
decision_tree,0.91115,0.8718028206951611,0.976235854675402,0.9224492092970904,0.948580688098614,0.8109931560323983,0.8999758820294481
logistic_regression,0.88955,0.8819880659307268,0.9823310601363918,0.8917215375091452,0.9348358358653648,0.7863820221778881,0.9563595022016571
dummy_most_frequent,0.88845,0.5,0.88845,1.0,0.940930392650057,0.4704651963250285,0.5
