feature,importance_mean,importance_std
ground_floor_area,0.04555569120908156,0.0025896785412280725
u_value_window,0.03135173558588287,0.0024837079318740718
year_of_construction,0.020601855587215123,0.0014882068699573047
u_value_wall,0.01885275750781208,0.001151078780336754
main_water_heating_fuel,0.013496768518792645,0.0010501915163301267
u_value_roof,0.012625575991865668,0.0022368427771515833
wall_area,0.011021754628990044,0.001062377348008992
u_value_floor,0.009552130999162568,0.0023955476805831003
dwelling_type,0.008215436686550514,0.0014147116803663094
floor_area,0.00814590219738236,0.0008638920032987174
main_space_heating_fuel,0.007076478970778166,0.0007104981141139726
glazing_percent,0.0068024444380366585,0.0016284184146140104
volume,0.0051278941957849655,0.0009455157343170967
u_value_door,0.004169308304267738,0.0016996433426315904
door_area,0.002929554636314702,0.0009749244116774423
county_name,0.002685148189107056,0.001349169258205856
window_area,0.0014712734240986292,0.0015906908950219809
roof_area,0.001015588391444644,0.0006431754999200011
type_of_rating,0.00025585516749626613,0.00025050900901732486
thermal_era,0.00011421731507832433,0.00013935802603102932
no_storeys,4.49653315082621e-05,8.99306630165242e-05
