,0
PUValueWall,0.0
PUValueRoof,0.0
UIDHex,0.0
FirstWallType_Description,0.0
CountyName,0.0
DateOfAssessment,0.0
PurposeOfRating,0.0
NoCentralHeatingPumps,0.0
HeatSystemResponseCat,0.0
HeatSystemControlCat,0.0
WHMainSystemEff,0.0
MPCDERValue,0.0
TGDLEdition,0.0
MultiDwellingMPRN,0.0
HSMainSystemEfficiency,0.0
CO2Rating,0.0
NoStoreys,0.0
DoorArea,0.0
WindowArea,0.0
FloorArea,0.0
RoofArea,0.0
WallArea,0.0
UvalueDoor,0.0
UValueWindow,0.0
UValueFloor,0.0
UValueRoof,0.0
UValueWall,0.0
GroundFloorArea(sq m),0.0
BerRating,0.0
EnergyRating,0.0
TypeofRating,0.0
Year_of_Construction,0.0
CHBoilerThermostatControlled,0.0
NoOilBoilerHeatingPumps,0.0
OBBoilerThermostatControlled,0.0
FirstFloorArea,0.0
RoomInRoofArea,0.0
HESSchemeUpgrade,0.0
LivingAreaPercent,0.0
LowEnergyLightingPercent,0.0
ThermalMassCategory,0.0
ThermalBridgingFactor,0.0
ThirdFloorHeight,0.0
ThirdFloorArea,0.0
SecondFloorHeight,0.0
SecondFloorArea,0.0
FirstFloorHeight,0.0
GroundFloorHeight,0.0
OBPumpInsideDwelling,0.0
GroundFloorArea,0.0
DwellingTypeDescr,0.0
ChargingBasisHeatConsumed,0.0
SWHPumpSolarPowered,0.0
CombinedCylinder,0.0
CylinderStat,0.0
DistributionLosses,0.0
GroundFloorUValue,0.0
UndergroundHeating,0.0
WarmAirHeatingSystem,0.0
NoGasBoilerHeatingPumps,0.0
Volume,0.0
