dwelling_type,retrofit_priority
House,0.9491525423728814
Semi-detached house,0.9032481192964714
Detached house,0.9031111325100106
Ground-floor apartment,0.9027789545030924
Mid-terrace house,0.9011693920131981
End of terrace house,0.8973171340007838
Top-floor apartment,0.8817849156332588
Maisonette,0.8374728167563237
Apartment,0.817564870259481
Mid-floor apartment,0.6920482889354485
