,precision,recall,f1-score,support
Not retrofit priority,0.8884636413340623,0.7283729269385926,0.8004926108374384,2231.0
Retrofit priority,0.9666501568433218,0.9885193314198886,0.9774624373956594,17769.0
accuracy,0.9595,0.9595,0.9595,0.9595
macro avg,0.927556899088692,0.8584461291792406,0.888977524116549,20000.0
weighted avg,0.9579284510382639,0.9595,0.9577214532430899,20000.0
